192, 5.6130e+02
256, 5.4559e+02
###############
# NB, P, Q, Ns, GFLOPS
##############
# N=2, ntasks-per-node=8
#############
# NB, P, Q, Ns,
304, 16, 8, 125000, 5.0777e+03
312, 32, 4, 125000, 3.9905e+03
312, 16, 8, 125000, 5.1197e+03
320, 32, 4, 125000, 3.9105e+03
320, 16, 8, 125000, 5.0253e+03
328, 32, 4, 125000, 3.9461e+03
328, 16, 8, 125000, 5.0506e+03
336, 32, 4, 125000, 3.9607e+03
336, 16, 8, 125000, 5.3791e+03
344, 32, 4, 125000, 3.9576e+03
344, 16, 8, 125000, 5.0076e+03
352, 32, 4, 125000, 3.9061e+03
352, 16, 8, 125000, 5.0696e+03
360, 32, 4, 125000, 3.9330e+03
360, 16, 8, 125000, 5.0864e+03
368, 32, 4, 125000, 3.9186e+03
368, 16, 8, 125000, 4.9121e+03
376, 32, 4, 125000, 3.9022e+03
376, 16, 8, 125000, 4.8988e+03
384, 32, 4, 125000, 3.8218e+03
384, 16, 8, 125000, 4.9176e+03
392, 32, 4, 125000, 3.6123e+03
392, 16, 8, 125000, 4.5925e+03
400, 32, 4, 125000, 3.6120e+03
256, 16, 8, 190000, 4.9386e+03
336, 16, 8, 125000, 3.5538e+03
336, 16, 8, 190000, used:
336, 16, 8, 200000, used:
336, 16, 8, 150000, used:
336, 16, 8, 160000, used:
336, 16, 8, 170000, used:
336, 16, 8, 180000, used:
336, 16, 8, 200000, used:
336, 8, 8, 125000, used:
336, 8, 8, 125000, 3.1178e+03
336, 8, 8, 125000, 3.1089e+03
336, 8, 8, 125000, 3.1655e+03
336, 8, 8, 125000, 3.1163e+03
336, 8, 8, 125000, 3.1252e+03
336, 8, 8, 125000, 3.1559e+03
336, 8, 8, 125000, 3.1321e+03
336, 8, 8, 125000, 3.1196e+03
